scenario_id,benchmark_id,benchmark_name,organization_count,document_count,in_core,baseline_organization_count,baseline_document_count,leave_one_org_min,leave_one_org_max,leave_one_org_survival_count,leave_one_org_scenario_count,leave_one_doc_min,leave_one_doc_max,leave_one_doc_survival_count,leave_one_doc_scenario_count,survives_every_org_omission,survives_every_document_omission,survives_drop_newest_per_org
canonical_all_t5,aa_lcr,AA-LCR,2,2,false,,,,,,,,,,,,,
canonical_all_t5,agieval,AGIEval,3,4,false,,,,,,,,,,,,,
canonical_all_t5,aime,AIME,8,17,true,,,,,,,,,,,,,
canonical_all_t5,apex_agents,APEX-Agents,4,5,false,,,,,,,,,,,,,
canonical_all_t5,arc_agi,ARC-AGI,3,3,false,,,,,,,,,,,,,
canonical_all_t5,arc_agi_2,ARC-AGI-2,2,2,false,,,,,,,,,,,,,
canonical_all_t5,arc_agi_3,ARC-AGI-3,1,1,false,,,,,,,,,,,,,
canonical_all_t5,asi_bench,ASI-Bench,0,0,false,,,,,,,,,,,,,
canonical_all_t5,agents_last_exam,Agents' Last Exam,2,2,false,,,,,,,,,,,,,
canonical_all_t5,aider_polyglot,Aider Polyglot,4,4,false,,,,,,,,,,,,,
canonical_all_t5,arxivmath,ArXivMath,1,1,false,,,,,,,,,,,,,
canonical_all_t5,arena_hard,Arena-Hard,3,4,false,,,,,,,,,,,,,
canonical_all_t5,automationbench,AutomationBench,5,6,true,,,,,,,,,,,,,
canonical_all_t5,bfcl,BFCL,3,4,false,,,,,,,,,,,,,
canonical_all_t5,bigbench_extra_hard,BIG-Bench Extra Hard,1,1,false,,,,,,,,,,,,,
canonical_all_t5,babyvision,BabyVision,1,1,false,,,,,,,,,,,,,
canonical_all_t5,bankertoolbench,BankerToolBench,1,1,false,,,,,,,,,,,,,
canonical_all_t5,biomysterybench,BioMysteryBench,2,2,false,,,,,,,,,,,,,
canonical_all_t5,blueprint_bench_2,Blueprint-Bench 2,1,1,false,,,,,,,,,,,,,
canonical_all_t5,brokenarxiv,BrokenArXiv,1,1,false,,,,,,,,,,,,,
canonical_all_t5,browsecomp,BrowseComp,6,12,true,,,,,,,,,,,,,
canonical_all_t5,browsecomp_zh,BrowseComp-ZH,2,2,false,,,,,,,,,,,,,
canonical_all_t5,cvebench,CVE-Bench,1,1,false,,,,,,,,,,,,,
canonical_all_t5,charxiv_reasoning,CharXiv Reasoning,1,1,false,,,,,,,,,,,,,
